distance,lat,lon,place_id,status,time,geoid
515.862,42.3918342,-83.12638720000001,ChIJvwzDSlLMJIgRSMv4kfOHVKU,OK,399,261635316001014
515.862,42.3918342,-83.12638720000001,ChIJvwzDSlLMJIgRSMv4kfOHVKU,OK,399,261635316001014
740.068,42.39308189999999,-83.12123009999999,ChIJ0YLxRK3NJIgRD5CPyla4Txw,OK,571,261635316001014
458.477,42.3918342,-83.12638720000001,ChIJvwzDSlLMJIgRSMv4kfOHVKU,OK,356,261635316002006
458.477,42.3918342,-83.12638720000001,ChIJvwzDSlLMJIgRSMv4kfOHVKU,OK,356,261635316002006
470.659,42.388845,-83.130556,ChIJs_B_JVfMJIgRPpTC14mOzfM,OK,373,261635316002006
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635372002001
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635372002001
99999999,42.3869472,-83.1839269,ChIJ8ySydnXLJIgRaggg-Ng9404,PATH_NOT_FOUND,99999999,261635372002001
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635372002000
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635372002000
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635372002000
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635372002017
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635372002017
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635372002017
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635366002008
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635366002008
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635366002008
99999999,42.4072459,-83.09694569999999,ChIJbSsFfunNJIgRhm5F6bmLv_E,PATH_NOT_FOUND,99999999,261635530002024
99999999,42.4072459,-83.09694569999999,ChIJbSsFfunNJIgRhm5F6bmLv_E,PATH_NOT_FOUND,99999999,261635530002024
99999999,42.409707,-83.097578,ChIJMTXMlunNJIgReP56BrQSDo4,PATH_NOT_FOUND,99999999,261635530002024
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635372002016
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635372002016
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635372002016
719.775,42.429698,-83.22130899999999,ChIJjU-a0onJJIgR-JG785QvyqQ,OK,560,261635405003010
719.775,42.429698,-83.22130899999999,ChIJjU-a0onJJIgR-JG785QvyqQ,OK,560,261635405003010
803.039,42.420254,-83.217749,ChIJB2_-_C_KJIgRty6dwUWjnKQ,OK,625,261635405003010
99999999,42.34546479999999,-83.0569867,ChIJCb1tHcrSJIgRQ18rIVW-D4E,PATH_NOT_FOUND,99999999,261635173002007
99999999,42.34546479999999,-83.0569867,ChIJCb1tHcrSJIgRQ18rIVW-D4E,PATH_NOT_FOUND,99999999,261635173002007
99999999,42.34546479999999,-83.0569867,ChIJbR24BMrSJIgRDGp4CoFzjAs,PATH_NOT_FOUND,99999999,261635173002007
99999999,42.3747811,-83.01782129999999,ChIJYUOz-QvTJIgRpMFpcvZa24A,PATH_NOT_FOUND,99999999,261635162002016
99999999,42.3747811,-83.01782129999999,ChIJYUOz-QvTJIgRpMFpcvZa24A,PATH_NOT_FOUND,99999999,261635162002016
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635162002016
99999999,42.4072459,-83.09694569999999,ChIJbSsFfunNJIgRhm5F6bmLv_E,PATH_NOT_FOUND,99999999,261635536001016
99999999,42.4072459,-83.09694569999999,ChIJbSsFfunNJIgRhm5F6bmLv_E,PATH_NOT_FOUND,99999999,261635536001016
99999999,42.406659,-83.098513,ChIJy8J4L-rNJIgRQ2SJG9M5w9k,PATH_NOT_FOUND,99999999,261635536001016
422.339,42.44329779999999,-83.2457914,ChIJHyR2hePJJIgRET4_JetnM1U,OK,320,261635409002002
422.339,42.44329779999999,-83.2457914,ChIJHyR2hePJJIgRET4_JetnM1U,OK,320,261635409002002
794.427,42.4422139,-83.2578767,ChIJK-hwBBu2JIgRw1P1kLOcBRs,OK,618,261635409002002
99999999,42.4072459,-83.09694569999999,ChIJbSsFfunNJIgRhm5F6bmLv_E,PATH_NOT_FOUND,99999999,261635538001011
99999999,42.4072459,-83.09694569999999,ChIJbSsFfunNJIgRhm5F6bmLv_E,PATH_NOT_FOUND,99999999,261635538001011
99999999,42.406659,-83.098513,ChIJy8J4L-rNJIgRQ2SJG9M5w9k,PATH_NOT_FOUND,99999999,261635538001011
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635163001008
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635163001008
99999999,42.3747811,-83.01782129999999,ChIJYUOz-QvTJIgRpMFpcvZa24A,PATH_NOT_FOUND,99999999,261635163001008
320.284,42.429698,-83.22130899999999,ChIJjU-a0onJJIgR-JG785QvyqQ,OK,263,261635403005010
320.284,42.429698,-83.22130899999999,ChIJjU-a0onJJIgR-JG785QvyqQ,OK,263,261635403005010
99999999,42.420254,-83.217749,ChIJB2_-_C_KJIgRty6dwUWjnKQ,PATH_NOT_FOUND,99999999,261635403005010
488.566,42.4057519,-82.9600275,ChIJhzFpgy_UJIgRnJIzGSSb514,OK,392,261635013001001
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004000
488.566,42.4057519,-82.9600275,ChIJhzFpgy_UJIgRnJIzGSSb514,OK,392,261635013001001
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004000
99999999,42.4120143,-82.9429914,ChIJUSmcJtbVJIgR3tVynormH8o,PATH_NOT_FOUND,99999999,261635013001001
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635352004000
99999999,42.41063279999999,-83.05843349999999,ChIJy7maEhjSJIgRaHyyLBrvaxY,PATH_NOT_FOUND,99999999,261635106001002
99999999,42.41063279999999,-83.05843349999999,ChIJy7maEhjSJIgRaHyyLBrvaxY,PATH_NOT_FOUND,99999999,261635106001002
99999999,42.39281509999999,-83.0496438,ChIJRw6iTETSJIgRrvSeQyRXbwI,PATH_NOT_FOUND,99999999,261635106001002
99999999,42.4349443,-82.9950121,ChIJw5O6nUrRJIgRT1s_pHogWws,PATH_NOT_FOUND,99999999,261635049004009
99999999,42.4349443,-82.9950121,ChIJw5O6nUrRJIgRT1s_pHogWws,PATH_NOT_FOUND,99999999,261635049004009
99999999,42.4477681,-83.0243687,ChIJD8AFuhrRJIgRgg7j4xhaodE,PATH_NOT_FOUND,99999999,261635049004009
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635220001093
374.956,42.4057519,-82.9600275,ChIJhzFpgy_UJIgRnJIzGSSb514,OK,300,261635013001003
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635220001093
99999999,42.3416493,-83.0599964,ChIJDWQUKbXSJIgRuf7nkyzxKR0,PATH_NOT_FOUND,99999999,261635220001093
99999999,42.3454237,-83.05698649999999,ChIJ-xgTG8rSJIgRZyfHXWue4rM,PATH_NOT_FOUND,99999999,261635173002009
99999999,42.3454237,-83.05698649999999,ChIJ-xgTG8rSJIgRZyfHXWue4rM,PATH_NOT_FOUND,99999999,261635173002009
99999999,42.34546479999999,-83.0569867,ChIJbR24BMrSJIgRDGp4CoFzjAs,PATH_NOT_FOUND,99999999,261635173002009
99999999,42.3454237,-83.05698649999999,ChIJ-xgTG8rSJIgRZyfHXWue4rM,PATH_NOT_FOUND,99999999,261635173001025
99999999,42.3454237,-83.05698649999999,ChIJ-xgTG8rSJIgRZyfHXWue4rM,PATH_NOT_FOUND,99999999,261635173001025
99999999,42.34546479999999,-83.0569867,ChIJbR24BMrSJIgRDGp4CoFzjAs,PATH_NOT_FOUND,99999999,261635173001025
99999999,42.3454237,-83.05698649999999,ChIJ-xgTG8rSJIgRZyfHXWue4rM,PATH_NOT_FOUND,99999999,261635173001026
99999999,42.3454237,-83.05698649999999,ChIJ-xgTG8rSJIgRZyfHXWue4rM,PATH_NOT_FOUND,99999999,261635173001026
99999999,42.34546479999999,-83.0569867,ChIJbR24BMrSJIgRDGp4CoFzjAs,PATH_NOT_FOUND,99999999,261635173001026
99999999,42.3454237,-83.05698649999999,ChIJ-xgTG8rSJIgRZyfHXWue4rM,PATH_NOT_FOUND,99999999,261635172002006
99999999,42.3454237,-83.05698649999999,ChIJ-xgTG8rSJIgRZyfHXWue4rM,PATH_NOT_FOUND,99999999,261635172002006
99999999,42.34546479999999,-83.0569867,ChIJbR24BMrSJIgRDGp4CoFzjAs,PATH_NOT_FOUND,99999999,261635172002006
99999999,42.3454237,-83.05698649999999,ChIJ-xgTG8rSJIgRZyfHXWue4rM,PATH_NOT_FOUND,99999999,261635172002003
99999999,42.3454237,-83.05698649999999,ChIJ-xgTG8rSJIgRZyfHXWue4rM,PATH_NOT_FOUND,99999999,261635172002003
99999999,42.34546479999999,-83.0569867,ChIJbR24BMrSJIgRDGp4CoFzjAs,PATH_NOT_FOUND,99999999,261635172002003
99999999,42.331461,-83.04893299999999,ChIJ0wWBTzAtO4gRoqThu2YMeIs,PATH_NOT_FOUND,99999999,261635172002009
99999999,42.331461,-83.04893299999999,ChIJ0wWBTzAtO4gRoqThu2YMeIs,PATH_NOT_FOUND,99999999,261635172002009
99999999,42.3454237,-83.05698649999999,ChIJ-xgTG8rSJIgRZyfHXWue4rM,PATH_NOT_FOUND,99999999,261635172002009
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001014
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001014
99999999,42.3179625,-83.1017622,ChIJufyPv-wyO4gRgCqZKJr-brQ,PATH_NOT_FOUND,99999999,261635213001014
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001013
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001013
99999999,42.3179625,-83.1017622,ChIJufyPv-wyO4gRgCqZKJr-brQ,PATH_NOT_FOUND,99999999,261635213001013
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001007
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001007
99999999,42.3179625,-83.1017622,ChIJufyPv-wyO4gRgCqZKJr-brQ,PATH_NOT_FOUND,99999999,261635213001007
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001008
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001008
99999999,42.3179625,-83.1017622,ChIJufyPv-wyO4gRgCqZKJr-brQ,PATH_NOT_FOUND,99999999,261635213001008
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001043
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001043
99999999,42.3179625,-83.1017622,ChIJufyPv-wyO4gRgCqZKJr-brQ,PATH_NOT_FOUND,99999999,261635213001043
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001029
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001029
99999999,42.3179625,-83.1017622,ChIJufyPv-wyO4gRgCqZKJr-brQ,PATH_NOT_FOUND,99999999,261635213001029
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001054
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001054
99999999,42.3179625,-83.1017622,ChIJufyPv-wyO4gRgCqZKJr-brQ,PATH_NOT_FOUND,99999999,261635213001054
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001055
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001055
99999999,42.3179625,-83.1017622,ChIJufyPv-wyO4gRgCqZKJr-brQ,PATH_NOT_FOUND,99999999,261635213001055
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001044
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001044
99999999,42.3179625,-83.1017622,ChIJufyPv-wyO4gRgCqZKJr-brQ,PATH_NOT_FOUND,99999999,261635213001044
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635215002018
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635215002018
99999999,42.3179625,-83.1017622,ChIJufyPv-wyO4gRgCqZKJr-brQ,PATH_NOT_FOUND,99999999,261635215002018
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635220001089
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635220001089
99999999,42.3179625,-83.1017622,ChIJufyPv-wyO4gRgCqZKJr-brQ,PATH_NOT_FOUND,99999999,261635220001089
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635220001090
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635220001090
99999999,42.3179625,-83.1017622,ChIJufyPv-wyO4gRgCqZKJr-brQ,PATH_NOT_FOUND,99999999,261635220001090
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001017
99999999,42.3232111,-83.08547969999999,ChIJM90rCqIyO4gR3nnmEp31SuM,PATH_NOT_FOUND,99999999,261635213001017
99999999,42.3179625,-83.1017622,ChIJufyPv-wyO4gRgCqZKJr-brQ,PATH_NOT_FOUND,99999999,261635213001017
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004009
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004009
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635352004009
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004004
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004004
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635352004004
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004017
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004017
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635352004017
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004008
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004008
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635352004008
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004024
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004024
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635352004024
743.186,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,OK,570,261635352001002
743.186,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,OK,570,261635352001002
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635352001002
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635352001001
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635352001001
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352001001
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635342004006
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635342004006
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635342004006
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004006
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004006
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635352004006
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635352004007
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635352004007
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635352004007
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635342005005
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635342005005
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635342005005
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635342005006
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635342005006
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635342005006
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635343001012
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635343001012
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635343001012
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635342005004
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635342005004
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635342005004
99999999,42.402427,-83.17228799999999,ChIJe3HAL4zLJIgReBa3zzkmJhk,PATH_NOT_FOUND,99999999,261635366001017
99999999,42.402427,-83.17228799999999,ChIJe3HAL4zLJIgReBa3zzkmJhk,PATH_NOT_FOUND,99999999,261635366001017
99999999,42.402349,-83.15924099999999,ChIJo6zrCnTMJIgR43kkYmiZbFI,PATH_NOT_FOUND,99999999,261635366001017
99999999,42.402427,-83.17228799999999,ChIJe3HAL4zLJIgReBa3zzkmJhk,PATH_NOT_FOUND,99999999,261635366001016
99999999,42.402427,-83.17228799999999,ChIJe3HAL4zLJIgReBa3zzkmJhk,PATH_NOT_FOUND,99999999,261635366001016
99999999,42.402349,-83.15924099999999,ChIJo6zrCnTMJIgR43kkYmiZbFI,PATH_NOT_FOUND,99999999,261635366001016
99999999,42.402427,-83.17228799999999,ChIJe3HAL4zLJIgReBa3zzkmJhk,PATH_NOT_FOUND,99999999,261635366001020
99999999,42.402427,-83.17228799999999,ChIJe3HAL4zLJIgReBa3zzkmJhk,PATH_NOT_FOUND,99999999,261635366001020
99999999,42.402349,-83.15924099999999,ChIJo6zrCnTMJIgR43kkYmiZbFI,PATH_NOT_FOUND,99999999,261635366001020
99999999,42.402427,-83.17228799999999,ChIJe3HAL4zLJIgReBa3zzkmJhk,PATH_NOT_FOUND,99999999,261635366001021
99999999,42.402427,-83.17228799999999,ChIJe3HAL4zLJIgReBa3zzkmJhk,PATH_NOT_FOUND,99999999,261635366001021
99999999,42.402349,-83.15924099999999,ChIJo6zrCnTMJIgR43kkYmiZbFI,PATH_NOT_FOUND,99999999,261635366001021
99999999,42.402349,-83.15924099999999,ChIJo6zrCnTMJIgR43kkYmiZbFI,PATH_NOT_FOUND,99999999,261635366001022
99999999,42.402349,-83.15924099999999,ChIJo6zrCnTMJIgR43kkYmiZbFI,PATH_NOT_FOUND,99999999,261635366001022
99999999,42.402427,-83.17228799999999,ChIJe3HAL4zLJIgReBa3zzkmJhk,PATH_NOT_FOUND,99999999,261635366001022
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635366002005
99999999,42.37750899999999,-83.177696,ChIJt3x01m_LJIgRsFMy5oe44I0,PATH_NOT_FOUND,99999999,261635366002005
99999999,42.3733623,-83.17289749999999,ChIJU3ciNGTLJIgRCvLSlG57NBE,PATH_NOT_FOUND,99999999,261635366002005
99999999,42.3747811,-83.01782129999999,ChIJYUOz-QvTJIgRpMFpcvZa24A,PATH_NOT_FOUND,99999999,261635163001006
99999999,42.3747811,-83.01782129999999,ChIJYUOz-QvTJIgRpMFpcvZa24A,PATH_NOT_FOUND,99999999,261635163001006
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635163001006
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168002010
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168002010
99999999,42.3747811,-83.01782129999999,ChIJYUOz-QvTJIgRpMFpcvZa24A,PATH_NOT_FOUND,99999999,261635168002010
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168001001
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168001001
99999999,42.3385451,-83.0218732,ChIJRVXMzcwsO4gRlPBQ-UmBfBM,PATH_NOT_FOUND,99999999,261635168001001
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168001002
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168001002
99999999,42.3385451,-83.0218732,ChIJRVXMzcwsO4gRlPBQ-UmBfBM,PATH_NOT_FOUND,99999999,261635168001002
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168001010
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168001010
99999999,42.3385451,-83.0218732,ChIJRVXMzcwsO4gRlPBQ-UmBfBM,PATH_NOT_FOUND,99999999,261635168001010
618.402,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,OK,472,261635168001013
618.402,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,OK,472,261635168001013
99999999,42.3385451,-83.0218732,ChIJRVXMzcwsO4gRlPBQ-UmBfBM,PATH_NOT_FOUND,99999999,261635168001013
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168002007
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168002007
99999999,42.3747811,-83.01782129999999,ChIJYUOz-QvTJIgRpMFpcvZa24A,PATH_NOT_FOUND,99999999,261635168002007
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168002008
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168002008
99999999,42.3747811,-83.01782129999999,ChIJYUOz-QvTJIgRpMFpcvZa24A,PATH_NOT_FOUND,99999999,261635168002008
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168002009
99999999,42.35184510000001,-83.0313335,ChIJmTrqiCbTJIgRFTim_Z9n8uk,PATH_NOT_FOUND,99999999,261635168002009
99999999,42.3747811,-83.01782129999999,ChIJYUOz-QvTJIgRpMFpcvZa24A,PATH_NOT_FOUND,99999999,261635168002009
